Ticker;Date;NaN;Close;Price;Open;Last;MA 10;Ownership;Buy;Sell;Cashflow
Mofid.Gold.ETF;11/05/2022;20220511;34953.00;34953;34031.00;35070.00;33488,09091;yes;no;no;-33.712.020
Mofid.Gold.ETF;14/05/2022;20220514;35435.00;35435;34953.00;35001.00;33725,45455;yes;no;no;-33.712.020
Mofid.Gold.ETF;15/05/2022;20220515;35650.00;35650;35435.00;36020.00;33971,54545;yes;no;no;-33.712.020
Mofid.Gold.ETF;16/05/2022;20220516;35613.00;35613;35650.00;35705.00;34195,54545;yes;no;no;-33.712.020
Mofid.Gold.ETF;17/05/2022;20220517;35451.00;35451;35613.00;35471.00;34404,18182;yes;no;no;-33.712.020
Mofid.Gold.ETF;18/05/2022;20220518;35177.00;35177;35451.00;35460.00;34589,54545;yes;no;no;-33.712.020
Mofid.Gold.ETF;21/05/2022;20220521;36043.00;36043;35177.00;36125.00;34859,81818;yes;no;no;-33.712.020
Mofid.Gold.ETF;22/05/2022;20220522;36619.00;36619;36043.00;36660.00;35124,09091;yes;no;no;-33.712.020
Mofid.Gold.ETF;23/05/2022;20220523;36320.00;36320;36619.00;36705.00;35358,36364;yes;no;no;-33.712.020
Mofid.Gold.ETF;24/05/2022;20220524;36674.00;36674;36320.00;36322.00;35633,27273;yes;no;no;-33.712.020
Mofid.Gold.ETF;25/05/2022;20220525;36484.00;36484;36674.00;36329.00;35856,27273;yes;no;no;-33.712.020
Mofid.Gold.ETF;28/05/2022;20220528;37159.00;37159;36484.00;37250.00;36056,81818;yes;no;no;-33.712.020
Mofid.Gold.ETF;29/05/2022;20220529;37561.00;37561;37159.00;37820.00;36250,09091;yes;no;no;-33.712.020
Mofid.Gold.ETF;30/05/2022;20220530;38216.00;38216;37561.00;38450.00;36483,36364;yes;no;no;-33.712.020
Mofid.Gold.ETF;31/05/2022;20220531;38165.00;38165;38216.00;37844.00;36715,36364;yes;no;no;-33.712.020
Mofid.Gold.ETF;01/06/2022;20220601;37856.00;37856;38165.00;37762.00;36934;yes;no;no;-33.712.020
Mofid.Gold.ETF;06/06/2022;20220606;37369.00;37369;37856.00;37250.00;37133,27273;yes;no;no;-33.712.020
Mofid.Gold.ETF;07/06/2022;20220607;37745.00;37745;37369.00;37879.00;37288;yes;no;no;-33.712.020
Mofid.Gold.ETF;08/06/2022;20220608;37950.00;37950;37745.00;37966.00;37409;yes;no;no;-33.712.020
Mofid.Gold.ETF;11/06/2022;20220611;39102.00;39102;37950.00;39739.00;37661,90909;yes;no;no;-33.712.020
Mofid.Gold.ETF;12/06/2022;20220612;41131.00;41131;39102.00;42000.00;38067,09091;yes;no;no;-33.712.020
Mofid.Gold.ETF;13/06/2022;20220613;40358.00;40358;41131.00;39940.00;38419,27273;yes;no;no;-33.712.020
Mofid.Gold.ETF;14/06/2022;20220614;39442.00;39442;40358.00;39401.00;38626,81818;yes;no;no;-33.712.020
Mofid.Gold.ETF;15/06/2022;20220615;38646.00;38646;39442.00;38677.00;38725,45455;yes;no;yes;38.646.000
Mofid.Gold.ETF;18/06/2022;20220618;39602.00;39602;38646.00;39850.00;38851,45455;no;yes;no;-39.602.020
Mofid.Gold.ETF;19/06/2022;20220619;39812.00;39812;39602.00;39450.00;39001,18182;yes;no;no;-39.602.020
Mofid.Gold.ETF;20/06/2022;20220620;39363.00;39363;39812.00;39219.00;39138,18182;yes;no;no;-39.602.020
Mofid.Gold.ETF;21/06/2022;20220621;39394.00;39394;39363.00;39520.00;39322,27273;yes;no;no;-39.602.020
Mofid.Gold.ETF;22/06/2022;20220622;39883.00;39883;39394.00;39930.00;39516,63636;yes;no;no;-39.602.020
Mofid.Gold.ETF;25/06/2022;20220625;38668.00;38668;39883.00;38455.00;39581,90909;yes;no;yes;38.668.000
Mofid.Gold.ETF;26/06/2022;20220626;36944.00;36944;38668.00;36705.00;39385,72727;no;no;no;38.668.000
Mofid.Gold.ETF;27/06/2022;20220627;35650.00;35650;36944.00;35750.00;38887,45455;no;no;no;38.668.000
Mofid.Gold.ETF;28/06/2022;20220628;35750.00;35750;35650.00;35784.00;38468,54545;no;no;no;38.668.000
Mofid.Gold.ETF;29/06/2022;20220629;36293.00;36293;35750.00;36380.00;38182,27273;no;no;no;38.668.000
Mofid.Gold.ETF;02/07/2022;20220702;38974.00;38974;36293.00;39015.00;38212,09091;no;yes;no;-38.974.020
Mofid.Gold.ETF;03/07/2022;20220703;39008.00;39008;38974.00;38753.00;38158,09091;yes;no;no;-38.974.020
